X,Y,Type,Name,Address,City,State,Hours,Email,Phone,result_num,osm_id,display_na,category,type_1,latlong,icon_url
-74.5099132040816,39.3347387755102,Pantry,Jewish Family Service Pantry,"607 N Jerome Ave, Margate",Atlantic City,NJ,Mon-Fri 9am-3pm,bmalali@jfsatlantic.org,�,"0","1375846719","607, North Jerome Avenue, Lancaster Park, Margate City, Atlantic County, New Jersey, 08402, United States",place,house,"39.3347387755102,-74.50991320408164",./6.png
-74.4404394,39.3629978,Pantry,El Pueblo Unido,Atlantic City,Atlantic City,NJ,By appointment only,�,609‑594‑7836,"0","7070782097","Atlantic City, 1, Atlantic City Expressway, Westside, Atlantic City, Atlantic County, New Jersey, 08404, United States",railway,station,"39.3629978,-74.4404394",./6.png
-74.440733,39.3575625,Pantry,Catholic Charities Diocese of AC,9 N Georgia Ave,Atlantic City,NJ,1st & 3rd Thu 9-11:30am,�,609‑345‑3448,"0","627837622","Catholic Charities, Diocese of Camden, 9, North Georgia Avenue, Ducktown, Westside, Atlantic City, Atlantic County, New Jersey, 08401, United States",amenity,social_facility,"39.3575625,-74.440733",./6.png
-74.447505,39.372867,Pantry,Westminster Christian Worship Center,2015 Morningside Ave,Atlantic City,NJ,4th Wed 11am-3pm,�,609‑350‑8102,"0","11574171","2015, Morningside Avenue, Venice Park, Atlantic City, Atlantic County, New Jersey, 08401, United States",place,house,"39.372867,-74.447505",./6.png
-74.5593848,39.3992112,Pantry,Community Food Bank of NJ,6735 Black Horse Pike,Egg Harbor Twp,NJ,"Tue/Wed/Fri 12-4pm appt; Sat 9-1 walk?in",cfbnj.org,908‑418‑8716,"0","515361320","Community FoodBank of New Jersey, 6735, Black Horse Pike, Egg Harbor Township, Atlantic County, New Jersey, 08234, United States",amenity,social_facility,"39.3992112,-74.5593848",./6.png
-74.424707,39.363374,Program,Beron JOAS,1102 Atlantic Ave,Atlantic City,NJ,Mon-Fri 9:30am-4pm,beronjoas@hotmail.com,�,"0","1332532133","1102, Atlantic Avenue, Midtown, Inlet, Atlantic City, Atlantic County, New Jersey, 08401, United States",place,house,"39.363374,-74.424707",./7.png
-74.4298828,39.3648606,Program,C.R.O.P.S. Farm Share,167 S Tennessee Ave,Atlantic City,NJ,Every other Wed 11am-1pm,info@crops.org,�,"0","11572764","North Tennessee Avenue, Midtown, Westside, Atlantic City, Atlantic County, New Jersey, 08401, United States",highway,tertiary,"39.3648606,-74.4298828",./7.png
-74.415886,39.3724,Program,Oceanside I Family Success Center,201 Melrose Ave,Atlantic City,NJ,Throughout month,oceansidefsc@gmail.com,609‑236‑8800,"0","96140706","201, Melrose Avenue, Northeast Inlet, Inlet, Atlantic City, Atlantic County, New Jersey, 08401, United States",place,house,"39.3724,-74.415886",./7.png
-74.4562265,39.3489242,Program,Oceanside II Family Success Center,3201 Atlantic Ave,Atlantic City,NJ,Throughout month,atlanticoceanside2@gmail.com,609‑594‑4990,"0","1472915010","Atlantic Avenue, Lower Chelsea, Atlantic City, Atlantic County, New Jersey, 08402, United States",highway,secondary,"39.3489242,-74.4562265",./7.png
-74.4252886,39.363573,Jewish Family Service Distribution,Southern Jersey Family Medical Center,1125 Atlantic Ave,Atlantic City,NJ,1st Fri 10am-12pm,bmalali@jfsatlantic.org,,"0","952826544","1125, Atlantic Avenue, Midtown, Inlet, Atlantic City, Atlantic County, New Jersey, 08402, United States",building,commercial,"39.363573,-74.4252886",./8.png
-74.415886,39.3724,Jewish Family Service Distribution,Oceanside I,201 Melrose Ave,Atlantic City,NJ,2nd Wed 11am-12pm,oceansidefsc@gmail.com,,"0","96140706","201, Melrose Avenue, Northeast Inlet, Inlet, Atlantic City, Atlantic County, New Jersey, 08401, United States",place,house,"39.3724,-74.415886",./8.png
-74.4240751751769,39.3631712246185,Jewish Family Service Distribution,JFS AC,26 S Pennsylvania Ave,Atlantic City,NJ,3rd Mon 10am-12pm,�,,"0","11578697","26, South Pennsylvania Avenue, Midtown, Inlet, Atlantic City, Atlantic County, New Jersey, 08401, United States",place,house,"39.36317122461852,-74.42407517517687",./8.png
-74.4562265,39.3489242,Jewish Family Service Distribution,Oceanside II,3201 Atlantic Ave,Atlantic City,NJ,3rd Wed 1-2pm,atlanticoceanside2@gmail.com,,"0","1472915010","Atlantic Avenue, Lower Chelsea, Atlantic City, Atlantic County, New Jersey, 08402, United States",highway,secondary,"39.3489242,-74.4562265",./8.png
-74.5764814142983,39.5015084713348,Farm,Walking Bird Farm,257 S Mannheim Ave,Egg Harbor City,NJ,May-Nov,"jen@walkingbirdfarm.com; ryan@walkingbirdfarm.com",609‑808‑4420,,,,,,,./https://raw.githubusercontent.com/MatthewDuffy/CROPSFoodSystemProgramMap/main/Icons/Apple.svg
